,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3,
Fall_Monongahela_2,0.5497360941940723,0.5610635421360973,0.6437707247749882,0.4090060178460262,0.39170670937889307,0.46727489091630303,0.743778801843318,0.8256450351837373,0.7131367292225201,0.3078512396694215,0,0.23513680312692864,0.5783565334530758,0.5720680393912265,0.5811010335372284,0.5989834815756035,0.5937746256895193,0.6212152850281896,0.5998260113092648,0.9768698931489629,0.9738305528295714,0.9939722724532851,0.9714469040744306,0.9753414722591562,0.9669517884914464,0.9606557377049181,0.9109329770652416,0.890330835313471,0.9090719499478623,0.8878941222265473,0.8808300019036741,0.9379788398394746,0.9276931547072857,0.9242196628275747,0.9789020452099031,0.9788338658146964,0.989454094292804,0.9713765287535779,0.9733074496481436,0.9946524064171123,0.9720424540512556,0.9722554412819899,0.9665,0.9733683420855214,0.9715008044127786,0.9741399214961902,0.9904716531681753,0.9772946859903382,0.9735879723689557,
Fall_Monongahela_3,0.5530216647662486,0.5683859379009495,0.6446617766911165,0.3777466105656849,0.40448995667585663,0.3983559209064652,0.7653562653562653,0.8212021857923497,0.732448866777225,0.27936729471970223,0.23513680312692864,0,0.5589062100690008,0.5691367456073338,0.6090476190476191,0.5550972304065999,0.580154355016538,0.608286252354049,0.6085777668227754,0.9598057728621527,0.9508343800466535,0.9927979834353619,0.9494115580537502,0.9596482152095189,0.9378666087334347,0.9431524547803618,0.8729113924050633,0.860446247464503,0.8749412317818523,0.8551229062432021,0.8484719864176571,0.912568306010929,0.8997555012224939,0.8987155963302752,0.9624756335282652,0.9637340496977838,0.9806187103988073,0.9357964869775893,0.9536312849162011,0.9881212879024696,0.9367850692354004,0.9401098901098901,0.9450708297195721,0.9490711751200167,0.952755905511811,0.9435356200527705,0.9715613891167624,0.9538760766879689,0.9470440538689797,
Fall_Neville_1,0.4017094017094017,0.3232091690544413,0.35797189981673794,0.5732368896925859,0.5692571183900663,0.5490962383976551,0.6926513290149654,0.8104606525911708,0.7705179282868526,0.5734840698869477,0.5783565334530758,0.5589062100690008,0,0.36875,0.4742947534932771,0.38198861734181455,0.4253875968992248,0.4277531892736267,0.3835616438356164,0.9743114028828315,0.9698025551684089,0.9839662447257383,0.957623912220961,0.9726962457337884,0.9456625357483317,0.9457163087089923,0.8899237933954276,0.8876851647136856,0.884585391213933,0.8711217183770883,0.8768873403019745,0.9280988089986767,0.9017996000888692,0.9079912750347016,0.9740329997295104,0.9783251231527094,0.9947275922671354,0.9682210708117444,0.9710053577056413,0.9863896848137536,0.9773584905660377,0.9696875966594495,0.9619921363040629,0.9717153284671532,0.968851013811343,0.9722140112326337,0.9901538461538462,0.9780701754385965,0.9718168092601912,
Fall_Neville_2,0.3451903807615231,0.3789954337899544,0.4373479318734793,0.5824967824967825,0.5483457844183565,0.5715676728334956,0.6945001113337786,0.8330942132950742,0.7556615017878426,0.5760368663594471,0.5720680393912265,0.5691367456073338,0.36875,0,0.3685316522195955,0.45684771742752417,0.4509898599710285,0.42464332036316477,0.38755458515283847,0.9769263637658453,0.9698841698841699,0.9916107382550335,0.9615094339622642,0.9752009810600899,0.9505938242280285,0.9590684544812985,0.9083497329210009,0.8836235397839982,0.9083139083139083,0.8772597526165556,0.8675619356332485,0.9423922603342129,0.9078626799557032,0.9161558236108365,0.9665858259229319,0.9705449189985272,0.9842794759825327,0.9587487108972156,0.9623470348289928,0.9871703492516037,0.9597132127005804,0.9611949491838621,0.9530332681017613,0.9645293315143247,0.9596136962247586,0.9629084486311451,0.9816176470588235,0.9656893325015595,0.9638916750250752,
Fall_Neville_3,0.3730363423212192,0.5001323801959228,0.47767481044650384,0.6156806156806156,0.6034691407825736,0.6288518603058663,0.6280436607892528,0.817283950617284,0.7693612210288299,0.5534816941852118,0.5811010335372284,0.6090476190476191,0.4742947534932771,0.3685316522195955,0,0.5229077580940745,0.5320498301245753,0.498546511627907,0.49911099822199645,0.9832739237729641,0.9787273060700532,0.9924727135867519,0.9720078952090436,0.9813452443510247,0.9643096140977024,0.9637488947833776,0.9315926892950391,0.8981288981288982,0.919206579583938,0.9093142729506366,0.8924216027874564,0.9514623522090853,0.9298245614035088,0.9358348968105066,0.9829317269076305,0.9861973775017253,0.9867342957471713,0.9798868636077939,0.9815028901734104,0.9889574537187399,0.9806371018113679,0.9801136363636364,0.9736448038334831,0.9794476557482338,0.9788617886178862,0.9820163487738419,0.9847328244274809,0.9839034205231388,0.9802863177657827,
Fall_Sharpsburg_1,0.44666088464874243,0.4035678222820599,0.43448275862068964,0.5280429594272076,0.5789980732177264,0.5619580419580419,0.6887316826680141,0.8037818580432996,0.7724950011108642,0.5630002964719834,0.5989834815756035,0.5550972304065999,0.38198861734181455,0.45684771742752417,0.5229077580940745,0,0.4508174009420892,0.50210716435882,0.4544873842222932,0.9648581997533909,0.9552399397460727,0.9837925445705025,0.9551080344031886,0.962973846605936,0.9439760674462877,0.9349112426035503,0.8677248677248677,0.8696303696303697,0.8671875,0.8692454372105693,0.8811410459587956,0.9232876712328767,0.8930185836263185,0.9045092838196287,0.961611076148521,0.9649816436035018,0.9874786568013659,0.9461279461279462,0.9517709118311982,0.9947206335239771,0.9515859766277128,0.9506263817243921,0.9399921042242401,0.9586028460543338,0.9507628294036061,0.9546089385474861,0.9882826803368729,0.9753086419753086,0.9571635311143271,
Fall_Sharpsburg_2,0.4230434782608695,0.3915369649805448,0.42505133470225875,0.5472957934564879,0.5110523332703572,0.5229007633587786,0.751323788978231,0.8505219206680584,0.7834101382488479,0.5857332742578645,0.5937746256895193,0.580154355016538,0.4253875968992248,0.4509898599710285,0.5320498301245753,0.4508174009420892,0,0.3654492493838225,0.4213483146067416,0.9677546205269367,0.9599170697995854,0.9872994652406417,0.9387271496276236,0.9675349188372971,0.9265255292652553,0.95019551348014,0.8833133253301321,0.8814382896015549,0.9024390243902439,0.8769742310889443,0.8684798051552669,0.9321179208688906,0.8836619168455982,0.8866725507502207,0.9587867561935633,0.961982058949167,0.9958592132505176,0.9505260164913278,0.9541501976284585,0.9964850615114236,0.9581566299123551,0.9533073929961089,0.9461077844311377,0.9572512984418697,0.951304347826087,0.9540574282147316,0.9896694214876033,0.967488201363398,0.9560487380330722,
Fall_Sharpsburg_3,0.4194296313470902,0.4081045751633987,0.4408423385979495,0.5658582976699953,0.5521374350779065,0.5592684578911717,0.7381546134663342,0.8503220075505219,0.8184873949579832,0.6049207475751124,0.6212152850281896,0.608286252354049,0.4277531892736267,0.42464332036316477,0.498546511627907,0.50210716435882,0.3654492493838225,0,0.4238393977415308,0.97303187142468,0.9650972550445374,0.9926062846580407,0.9462729051770148,0.9715404699738903,0.9324652394614875,0.9597550306211724,0.9118102114492006,0.8888431453272951,0.9091343854615017,0.872707182320442,0.8780172413793104,0.9429040870815363,0.902398676592225,0.9092599479360357,0.9494047619047619,0.9526734926052333,0.9823822290310226,0.9380804953560371,0.9446978335233751,0.9814518708026863,0.9433846153846154,0.9461883408071748,0.9338647770888692,0.9482941301123119,0.9395398608881755,0.9429800968262507,0.9748953974895398,0.9574709384746243,0.9559062427477373,
Fall_Sharpsburg_4,0.46045608927704995,0.40891579526692345,0.4148624926857811,0.5656288916562889,0.5626168224299065,0.5743275129778197,0.679290196927072,0.8000927643784786,0.7583268783888458,0.6025768087215064,0.5998260113092648,0.6085777668227754,0.3835616438356164,0.38755458515283847,0.49911099822199645,0.4544873842222932,0.4213483146067416,0.4238393977415308,0,0.9678366662005314,0.9578154425612053,0.984884645982498,0.939963167587477,0.966528317043781,0.9253456221198156,0.9484136041999544,0.8671006238133985,0.8791514891793444,0.9037835129040341,0.8804799261652053,0.8781748707574736,0.9307396323215049,0.88762109795479,0.8877964141122036,0.9599062744077064,0.9628924833491912,0.990909090909091,0.9473511023362948,0.9517636418450407,0.9959128065395095,0.9555410264792416,0.9508439443292863,0.9424280350438048,0.9575971731448764,0.9509444601071327,0.9540686135525943,0.990571596935769,0.9628297362110312,0.9562894609033511,
Spring_Braddock_1,0.9716539644337479,0.9719639536546989,0.9825830258302582,0.9536082474226804,0.951052373959863,0.952073732718894,0.9877162196039108,0.9898291824227409,0.9880295739936628,0.9818747463817125,0.9768698931489629,0.9598057728621527,0.9743114028828315,0.9769263637658453,0.9832739237729641,0.9648581997533909,0.9677546205269367,0.97303187142468,0.9678366662005314,0,0.40648436598592363,0.9935275080906149,0.6221691134630705,0.3018658784407907,0.5967259971417436,0.6314293098991988,0.7586598523566156,0.7290628115653042,0.7346216657593903,0.7963853855155376,0.7097104791186267,0.7438705662725575,0.7800549862534366,0.7191011235955056,0.7460405668241178,0.688665520433805,0.9629565518435174,0.8170731707317074,0.798921186694636,0.9520101700301923,0.8326059850374065,0.7683397683397684,0.7662139478101633,0.7024730500951173,0.7641946697566628,0.7353282975014526,0.844763738705377,0.8362468250410877,0.7669565217391304,
